annee;mois;jours_calendaires;jours_ouvres;jours_ouvrables
2026;janvier;31;21;26
2026;février;28;20;24
2026;mars;31;22;26
2026;avril;30;20;24
2026;mai;31;17;22
2026;juin;30;22;26
2026;juillet;31;22;26
2026;août;31;21;25
2026;septembre;30;22;26
2026;octobre;31;22;27
2026;novembre;30;20;24
2026;décembre;31;22;26
2027;janvier;31;20;25
2027;février;28;20;24
2027;mars;31;22;26
2027;avril;30;21;25
2027;mai;31;19;22
2027;juin;30;22;26
2027;juillet;31;21;26
2027;août;31;22;26
2027;septembre;30;22;26
2027;octobre;31;21;26
2027;novembre;30;20;24
2027;décembre;31;23;26
2028;janvier;31;21;25
2028;février;29;21;25
2028;mars;31;23;27
2028;avril;30;18;23
2028;mai;31;20;24
2028;juin;30;21;25
2028;juillet;31;20;25
2028;août;31;22;26
2028;septembre;30;21;26
2028;octobre;31;22;26
2028;novembre;30;21;24
2028;décembre;31;20;25
2029;janvier;31;22;26
2029;février;28;20;24
2029;mars;31;22;27
2029;avril;30;19;23
2029;mai;31;19;23
2029;juin;30;21;26
2029;juillet;31;22;25
2029;août;31;22;26
2029;septembre;30;20;25
2029;octobre;31;23;27
2029;novembre;30;21;25
2029;décembre;31;20;25
2030;janvier;31;22;26
2030;février;28;20;24
2030;mars;31;21;26
2030;avril;30;21;24
2030;mai;31;20;24
2030;juin;30;19;24
2030;juillet;31;23;27
2030;août;31;21;26
2030;septembre;30;21;25
2030;octobre;31;23;27
2030;novembre;30;19;24
2030;décembre;31;21;25
2031;janvier;31;22;26
2031;février;28;20;24
2031;mars;31;21;26
2031;avril;30;21;25
2031;mai;31;19;24
2031;juin;30;20;24
2031;juillet;31;22;26
2031;août;31;20;25
2031;septembre;30;22;26
2031;octobre;31;23;27
2031;novembre;30;19;23
2031;décembre;31;22;26
2032;janvier;31;21;26
2032;février;29;20;24
2032;mars;31;22;26
2032;avril;30;21;25
2032;mai;31;19;22
2032;juin;30;22;26
2032;juillet;31;21;26
2032;août;31;22;26
2032;septembre;30;22;26
2032;octobre;31;21;26
2032;novembre;30;20;24
2032;décembre;31;23;26
2033;janvier;31;21;25
2033;février;28;20;24
2033;mars;31;23;27
2033;avril;30;19;24
2033;mai;31;21;25
2033;juin;30;21;25
2033;juillet;31;20;25
2033;août;31;22;26
2033;septembre;30;22;26
2033;octobre;31;21;26
2033;novembre;30;20;24
2033;décembre;31;22;27
2034;janvier;31;22;26
2034;février;28;20;24
2034;mars;31;23;27
2034;avril;30;18;23
2034;mai;31;19;23
2034;juin;30;22;26
2034;juillet;31;20;25
2034;août;31;22;26
2034;septembre;30;21;26
2034;octobre;31;22;26
2034;novembre;30;21;24
2034;décembre;31;20;25
2035;janvier;31;22;26
2035;février;28;20;24
2035;mars;31;21;26
2035;avril;30;20;24
2035;mai;31;19;23
2035;juin;30;21;26
2035;juillet;31;22;25
2035;août;31;22;26
2035;septembre;30;20;25
2035;octobre;31;23;27
2035;novembre;30;21;25
2035;décembre;31;20;25
